id;transport
1;Машина
1;Общественный
1;Пешком
2;Машина
2;Общественный
2;Пешком
3;Машина
3;Общественный
3;Пешком
4;Машина
4;Общественный
4;Пешком
5;Машина
5;Общественный
5;Пешком
6;Машина
6;Общественный
6;Пешком
7;Машина
7;Общественный
7;Пешком
8;Машина
8;Общественный
8;Пешком
9;Машина
9;Общественный
9;Пешком
10;Машина
10;Общественный
10;Пешком
11;Машина
11;Общественный
11;Пешком
12;Машина
12;Общественный
12;Пешком
13;Машина
13;Общественный
13;Пешком
14;Машина
14;Общественный
14;Пешком
15;Машина
16;Общественный
16;Пешком
17;Машина
18;Общественный
18;Пешком
19;Машина
19;Общественный
19;Пешком
20;Машина
20;Общественный
20;Пешком
21;Машина
21;Общественный
21;Пешком
22;Машина
22;Общественный
22;Пешком
23;Машина
23;Общественный
23;Пешком
24;Машина
24;Общественный
24;Пешком
25;Машина
25;Общественный
25;Пешком
26;Машина
26;Общественный
26;Пешком
27;Машина
27;Общественный
27;Пешком
28;Машина
28;Общественный
28;Пешком
29;Машина
29;Общественный
29;Пешком
30;Машина
30;Общественный
30;Пешком
31;Машина
31;Общественный
31;Пешком
32;Машина
32;Общественный
32;Пешком
33;Машина
33;Общественный
33;Пешком
34;Машина
34;Общественный
34;Пешком
35;Машина
35;Общественный
35;Пешком
36;Машина
36;Общественный
36;Пешком
37;Машина
37;Общественный
37;Пешком
38;Машина
38;Общественный
38;Пешком
39;Машина
39;Общественный
39;Пешком
40;Машина
40;Общественный
40;Пешком
41;Машина
41;Общественный
41;Пешком
42;Машина
42;Общественный
42;Пешком
43;Машина
43;Общественный
43;Пешком
44;Машина
44;Общественный
44;Пешком
45;Машина
45;Общественный
45;Пешком
46;Машина
46;Общественный
46;Пешком
47;Машина
47;Общественный
47;Пешком
48;Машина
48;Общественный
48;Пешком
49;Машина
49;Общественный
49;Пешком
50;Машина
50;Общественный
50;Пешком
51;Машина
51;Общественный
51;Пешком
52;Машина
52;Общественный
52;Пешком
53;Машина
53;Общественный
53;Пешком
54;Машина
54;Общественный
54;Пешком
55;Машина
55;Общественный
55;Пешком
56;Машина
56;Общественный
56;Пешком
